Vendor	Model	FW Ver	Notes	Buffer Read Support	Size Per Sector in Buff	Scrambled	ECC	Returns Uncorrected Data	Date Submitted	Program Version	Submitted By
Samsung	SD-616E	F501		No	No	No	No	No	2023-10-08	2023-10-01a	bikerspade
Samsung	SE-506CB		used in coasterburn experiments	3C 02 00	2384	Yes	Yes	Yes	2023-09-30	2023-06-17	Sazpaimon
Samsung	SM-352N	TA01		3C 02 00	2816	Yes	Yes	?	2023-09-30	2023-07-09	flashfire42
Sony	AD-7190S		last 12 bytes are AA.	3C 01 01 3C 01 02	2384	Yes	Yes	Yes	2023-09-30	2023-06-17	Sazpaimon
Sony	BWU-200S	1.0a		No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Sony	BWU-300S	1.0a		No	No	No	No	No	2023-12-13	2023-12-12a	Sazpaimon
Sony	DDU1611	GYS1		3C 00 00	2816	Yes	Yes	?	2023-10-01	2023-10-01	MrPepka
Sony	DRU-830A	SS20		No	No	No	No	No	2023-09-30	2023-07-09	flashfire42
Sony	DW-D26A	JYS2		3C 01 01 3C 01 02	2384	Yes	Yes	?	2023-11-21	2023-10-01a	Lazerdude
Sony	DW-Q30A	YYS2		3C 01 01 3C 01 02	2384	Yes	Yes	?	2023-10-31	2023-10-01a	Lazerdude
Sony	PS-SYSTEM 402R	0100	PS4 BluRay Drive	No	No	No	No	No	2023-10-02	2023-10-01a	jason098
Sony Optiarc	AD-5540A	103C		No	No	No	No	?	2023-10-31	2023-10-01a	Lazerdude
Sony Optiarc	AD-7240S	1.03		No	No	No	No	No	2023-10-30	2023-10-01a	Lazerdude
Sony Optiarc	AD-7280S			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
